W,X,Y,Z,D,SE,Z.value
 Ghgam, GAgam, AOcol, ac_chri,-0.02086628923577561,0.0016325812407357002,-12.781164400965734
 CMgam, GAgam, AOcol, ac_chri,-0.02727058133513535,0.00146264792879589,-18.644665471605038
 BFgam, GAgam, AOcol, ac_chri,-0.02547027293590109,0.0014521811318848224,-17.539322317762515
 FRgam, GAgam, AOcol, ac_chri,-0.007776280836694551,0.0027672829318760536,-2.8100779819513053
 GNgam, GAgam, AOcol, ac_chri,-0.02640625258294332,0.0015015979482605824,-17.585434645493308
 GQgam, GAgam, AOcol, ac_chri,-0.00836779812568203,0.0018970764517719856,-4.4108913575233055
 UGgam, Gagam, AOcol, ac_chri,-0.02396660492265049,0.001501102262413433,-15.96600413093616
 GHgam, GAgam, BFcol, ac_chri,-0.0053899278328869,0.0015355526201743122,-3.5100899585421232
 CMgam, GAgam, BFcol, ac_chri,-0.014382936969065127,0.0013324077341782176,-10.794696398198273
 BFgam, GAgam, BFcol, ac_chri,-0.010964285330078984,0.001247649322528127,-8.787954381173325
 FRgam, GAgam, BFcol, ac_chri,-0.0028724137372998304,0.002552766654925739,-1.1252159423805193
 GNgam, GAgam, BFcol, ac_chri,-0.011428922967226592,0.001245084033931771,-9.179238232728704
 GQgam, GAgam, BFcol, ac_chri,-0.003979341271720846,0.0016432290237176352,-2.421659558275084
 UGgam, GAgam, BFcol, ac_chri,-0.013627357317271865,0.001400360685332548,-9.731319552173613
 GHgam, GAgam, CIcol, ac_chri,-0.004318852943233037,0.0014313556927103115,-3.017316356254657
 CMgam, GAgam, CIcol, ac_chri,-0.013611337122091538,0.0012211560901871578,-11.14627133375343
BFgam, GAgam, CIcol, ac_chri,-0.01029977858064037,0.0011781237035252332,-8.742527248896634
 FRgam, GAgam, CIcol, ac_chri,-0.0027024148219243864,0.0025115883341347038,-1.0759784098357923
 GNgam, GAgam, CIcol, ac_chri,-0.011021715735328324,0.0012163539216942887,-9.06127364638732
 GQgam, GAgam, CIcol, ac_chri,-0.0032531950989268237,0.001559748933546619,-2.0857171490603807
 UGgam, GAgam, CIcol, ac_chri,-0.013209615318053529,0.0012920346749618404,-10.22388607213167
 GHgam, GAgam, GHcol, ac_chri,-0.005198154883352532,0.0015601069665703913,-3.3319221019695333
 CMgam, GAgam, GHcol, ac_chri,-0.015002449895567644,0.0013746508462526784,-10.913643952909627
 BFgam, GAgam, GHcol, ac_chri,-0.011292806984575708,0.0012831323162342885,-8.800968412764801
 FRgam, GAgam, GHcol, ac_chri,-0.00340345342732235,0.002565908510595927,-1.3264126188707737
 GNgam, GAgam, GHcol, ac_chri,-0.011839506279757635,0.0012814230532109984,-9.239342346846437
 GQgam, GAgam, GHcol, ac_chri,-0.004326755452537631,0.001681838019079482,-2.572635059650862
 UGgam, GAgam, GHcol, ac_chri,-0.014349652972432913,0.0014310355911022518,-10.027460575861797
 GHgam, GAgam, GNcol, ac_chri,-0.003979973597316234,0.0014523787656115028,-2.7403138158939715
 CMgam, GAgam, GNcol, ac_chri,-0.013214063217870692,0.00125359332238895,-10.540948952000553
 BFgam, GAgam, Gncol, ac_chri,-0.010091235296869032,0.0012045561668902179,-8.377554799226509
 FRgam, GAgam, GNcol, ac_chri,-0.003577147624660746,0.00258348881082819,-1.384618973253466
 GNgam, GAgam, GNcol, ac_chri,-0.010541615934030541,0.001227902856157523,-8.585056937662339
 GQgam, GAgam, GNcol, ac_chri,-0.0029487501281623874,0.0015516096146930044,-1.9004458984006851
 UGgam, GAgam, GNcol, ac_chri,-0.012780948188766494,0.001316515316937342,-9.708165202740886
