W,X,Y,Z,D,SE,Z.value
 Ghgam, GAgam, AOcol, ac_chri,-0.02005753150261736,0.002185040338947028,-9.179478815609919
 CMgam, GAgam, AOcol, ac_chri,-0.025841534092956232,0.0019271329320940164,-13.409315809302738
 BFgam, GAgam, AOcol, ac_chri,-0.026695324839653055,0.0020045682100443083,-13.317244434931446
 FRgam, GAgam, AOcol, ac_chri,-0.011018070333225091, 0.0030814067611196075,-3.575662412456625
 GNgam, GAgam, AOcol, ac_chri,-0.027225973735287002, 0.0020166600671891683,-13.50052702398908
 GQgam, GAgam, AOcol, ac_chri,-0.0019501305533854059,0.0022088947600704266,-0.8828535377227431
 UGgam, Gagam, AOcol, ac_chri,-0.024102163152454188,0.001965572945784415,-12.26215654023238
 GHgam, GAgam, BFcol, ac_chri,-0.002211287821940946,0.0019183748651617077,-1.1526880705635951
 CMgam, GAgam, BFcol, ac_chri,-0.01110091152272964,0.0016113255719760247,-6.889303884823354
 BFgam, GAgam, BFcol, ac_chri,-0.008574136762501195,0.0017067308266340714,-5.023719398922838
 FRgam, GAgam, BFcol, ac_chri,-0.00341441633328403,0.0028527014937646377,-1.1969062801513493
 GNgam, GAgam, BFcol, ac_chri,-0.010288776568158187,0.001656128725943973,-6.21254640836793
 GQgam, GAgam, BFcol, ac_chri,0.0030675016303984923,0.0019322612478422775,1.5875190965113635
 UGgam, GAgam, BFcol, ac_chri,-0.012023068364455663,0.0016752024199450859,-7.177083928072278
 GHgam, GAgam, CIcol, ac_chri, -0.0020706113544629776, -0.0020706113544629776,-1.088855205315993
 CMgam, GAgam, CIcol, ac_chri,-0.012333109166817362,0.001650853478076868,-7.4707473016833665
BFgam, GAgam, CIcol, ac_chri,-0.010165652355175785, 0.0017193064080226052,-5.912647279007948
 FRgam, GAgam, CIcol, ac_chri,-0.005711028136998526,0.0028531797789329853,-2.001636272332724
 GNgam, GAgam, CIcol, ac_chri,-0.011545469383436832,0.0016879347368598991,-6.839997501867349
 GQgam, GAgam, CIcol, ac_chri, 0.002411392798584313,0.0019435522777249826,1.240714142974821
 UGgam, GAgam, CIcol, ac_chri,-0.013325914740269972,0.0017186860846566789,-7.753547817274571
 GHgam, GAgam, GHcol, ac_chri,-0.0025818697271395743,0.0019431684489664178,-1.3286906384842165
 CMgam, GAgam, GHcol, ac_chri,-0.01284021071038842,0.0016608100230443418,-7.731294086756363
 BFgam, GAgam, GHcol, ac_chri,-0.010767489100868412,0.0017418262087351593,-6.181724127740223
 FRgam, GAgam, GHcol, ac_chri,-0.006078239882784388,0.0028687387016731636,-2.1187847743816173
 GNgam, GAgam, GHcol, ac_chri,-0.012187385751516443,0.0017073178591160982,-7.138322654122542
 GQgam, GAgam, GHcol, ac_chri,0.0024093875012494593,0.001933438978425467,1.2461668188833093
 UGgam, GAgam, GHcol, ac_chri,-0.013852611541236995,0.0017264947820117536,-8.023546717642319
 GHgam, GAgam, GNcol, ac_chri,-0.0018525536534316702,0.0020629925101151446,-0.8979933976242459
 CMgam, GAgam, GNcol, ac_chri,-0.011794932318105782,0.0017358516270035735,-6.794896599812618
 BFgam, GAgam, Gncol, ac_chri,-0.010022149330379917,0.0017618386728278502,-5.688460291482763
 FRgam, GAgam, GNcol, ac_chri,-0.005552833954362548,0.00300540714092501,-1.847614547376595
 GNgam, GAgam, GNcol, ac_chri,-0.01096222536362285,0.001758538621795844,-6.23371316828292
 GQgam, GAgam, GNcol, ac_chri,0.0023095996919326976, 0.0021086736773690204,1.0952854947259414
 UGgam, GAgam, GNcol, ac_chri,-0.01271017321817529,0.0018093293093118439,-7.0247981684491965
